127.0.0.1 - - [12/Dec/2023:05:16:08 +0900] "GET / HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:16:09 +0900] "GET /index.jsp HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:16:10 +0900] "GET /main.jsp HTTP/1.1" 200 6955
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:16:10 +0900] "GET /resources/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:16:10 +0900] "GET /resources/css/style.css HTTP/1.1" 200 14177
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:16:10 +0900] "GET /resources/images/train.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:16:10 +0900] "GET /resources/images/magnifier.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:16:10 +0900] "GET /resources/images/busan.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:16:10 +0900] "GET /resources/images/seoul.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:16:10 +0900] "GET /resources/images/jeju.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:16:10 +0900] "GET /resources/images/hot.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:16:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:19:33 +0900] "GET /resources/css/style.css HTTP/1.1" 200 14023
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:20:08 +0900] "GET /main.jsp HTTP/1.1" 200 6955
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:20:08 +0900] "GET /resources/css/style.css HTTP/1.1" 200 14027
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:20:08 +0900] "GET /resources/js/main.js HTTP/1.1" 200 5533
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:20:08 +0900] "GET /resources/images/magnifier.png HTTP/1.1" 200 735
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:20:08 +0900] "GET /resources/images/train.png HTTP/1.1" 200 1487562
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:20:08 +0900] "GET /resources/images/busan.png HTTP/1.1" 200 271003
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:20:08 +0900] "GET /resources/images/seoul.png HTTP/1.1" 200 314364
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:20:08 +0900] "GET /resources/images/jeju.png HTTP/1.1" 200 226492
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:20:08 +0900] "GET /resources/images/hot.png HTTP/1.1" 200 1106
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:20:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:22:58 +0900] "GET /main.jsp HTTP/1.1" 200 6955
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:22:58 +0900] "GET /resources/css/style.css HTTP/1.1" 200 13904
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:22:58 +0900] "GET /resources/images/magnifier.png HTTP/1.1" 200 735
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:22:58 +0900] "GET /resources/js/main.js HTTP/1.1" 200 5533
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:22:58 +0900] "GET /resources/images/train.png HTTP/1.1" 200 1487562
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:22:58 +0900] "GET /resources/images/busan.png HTTP/1.1" 200 271003
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:22:58 +0900] "GET /resources/images/seoul.png HTTP/1.1" 200 314364
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:22:58 +0900] "GET /resources/images/jeju.png HTTP/1.1" 200 226492
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:22:58 +0900] "GET /resources/images/hot.png HTTP/1.1" 200 1106
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:22:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:24:39 +0900] "GET /main.jsp HTTP/1.1" 200 6955
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:24:39 +0900] "GET /resources/css/style.css HTTP/1.1" 200 13905
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:24:39 +0900] "GET /resources/js/main.js HTTP/1.1" 200 5533
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:24:39 +0900] "GET /resources/images/magnifier.png HTTP/1.1" 200 735
0:0:0:0:0:0:0:1 - - [12/Dec/2023:05:24:39 +0900] "GET /resources/images/train.png HTTP/1.1" 200 1487562
